POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH,URL_ID
0.102,0.01,0.8214212373103812,0.011049723756906077,60.166666666666664,21.329639889196674,32.598522622345335,60.166666666666664,77,361,1.664819944598338,4,5.254847645429363,bctech2096
0.072,0.008,0.7999900001249985,0.00851063829787234,33.5,18.550106609808104,20.820042643923244,33.5,87,469,1.603411513859275,2,5.240938166311301,bctech2097
0.086,0.015,0.7029633369966634,0.00931098696461825,29.77777777777778,18.097014925373134,19.149917081260366,29.77777777777778,97,536,1.585820895522388,4,5.298507462686567,bctech2098
0.093,0.011,0.7884539571734888,0.008676789587852495,30.666666666666668,18.695652173913043,19.744927536231884,30.666666666666668,86,460,1.6369565217391304,3,5.243478260869566,bctech2099
0.113,0.012,0.8079935360517116,0.012165450121654502,68.33333333333333,17.560975609756095,34.357723577235774,68.33333333333333,72,410,1.6195121951219513,5,5.212195121951219,bctech2100
0.091,0.043,0.3582062820426713,0.008350730688935281,68.28571428571429,18.200836820083683,34.59462044231919,68.28571428571429,87,478,1.5878661087866108,4,5.207112970711297,bctech2101
0.108,0.015,0.756091413890944,0.004269854824935952,33.42857142857143,16.495726495726494,19.96971916971917,33.42857142857143,193,1170,1.4786324786324787,5,4.808547008547008,bctech2102
0.102,0.015,0.7435833881761694,0.002527379949452401,32.054054054054056,16.947723440134908,19.600710997675588,32.054054054054056,201,1186,1.4983136593591906,3,4.897976391231029,bctech2103
0.123,0.015,0.7826030246157636,0.006024096385542169,47.285714285714285,22.9607250755287,28.098575744497193,47.285714285714285,76,331,1.70392749244713,2,5.438066465256798,bctech2104
0.106,0.021,0.6692860686136329,0.010471204188481676,30.105263157894736,15.209790209790212,18.12602134707398,30.105263157894736,87,572,1.5262237762237763,5,4.9073426573426575,bctech2105
0.117,0.024,0.6595697902851753,0.0091324200913242,36.416666666666664,19.679633867276888,22.43852021357742,36.416666666666664,86,437,1.6270022883295194,4,5.2631578947368425,bctech2106
0.089,0.014,0.7281482704051417,0.008710801393728223,35.8125,15.18324607329843,20.39829842931937,35.8125,87,573,1.5235602094240839,3,4.975567190226876,bctech2107
0.081,0.01,0.7802112064702587,0.012121212121212121,38.0,20.445344129554655,23.378137651821863,38.0,101,494,1.6194331983805668,5,5.216599190283401,bctech2108
0.089,0.015,0.7115316198882703,0.009188361408882083,36.22222222222222,21.012269938650306,22.893796864349014,36.22222222222222,137,652,1.598159509202454,4,5.134969325153374,bctech2109
0.095,0.011,0.7924453542891106,0.02074688796680498,25.31578947368421,18.295218295218298,17.444403107561005,25.31578947368421,88,481,1.5966735966735968,8,5.1829521829521825,bctech2110
0.083,0.02,0.611644547140319,0.01694915254237288,29.45,15.959252971137522,18.163701188455008,29.45,94,589,1.533106960950764,10,4.916808149405773,bctech2111
0.101,0.014,0.7565151607377327,0.010498687664041995,42.22222222222222,22.105263157894736,25.730994152046783,42.22222222222222,84,380,1.6736842105263159,4,5.336842105263158,bctech2112
0.118,0.012,0.8153783432435134,0.016333938294010888,34.375,20.0,21.75,34.375,110,550,1.6181818181818182,9,5.098181818181819,bctech2113
0.115,0.018,0.7293178246780099,0.0070921985815602835,56.2,24.199288256227756,32.15971530249111,56.2,68,281,1.7544483985765125,2,5.572953736654804,bctech2114
0.118,0.013,0.8015205990793963,0.00663716814159292,26.558823529411764,15.614617940199334,16.86937658784444,26.558823529411764,141,903,1.5060908084163898,5,4.926910299003322,bctech2115
0.122,0.009,0.8625888351997313,0.011532125205930808,31.894736842105264,14.686468646864686,18.63248219558798,31.894736842105264,89,606,1.443894389438944,7,4.691419141914191,bctech2116
0.083,0.014,0.7113328728569809,0.0034782608695652175,28.7,17.59581881533101,18.518327526132406,28.7,101,574,1.5104529616724738,2,4.911149825783972,bctech2117
0.134,0.013,0.8231236522200529,0.007614213197969543,39.3,20.610687022900763,23.964274809160305,39.3,81,393,1.6895674300254453,2,5.340966921119593,bctech2118
0.116,0.021,0.6934255954336099,0.017035775127768313,24.416666666666668,15.529010238907851,15.978270762229807,24.416666666666668,91,586,1.5187713310580204,10,4.890784982935154,bctech2119
0.069,0.01,0.7468259895444361,0.014802631578947368,40.46666666666667,17.957166392092258,23.369533223503574,40.46666666666667,109,607,1.5535420098846788,7,4.99341021416804,bctech2120
0.107,0.006,0.8937974000230086,0.01278772378516624,39.05,14.596670934699105,21.458668373879643,39.05,114,781,1.475032010243278,10,4.978233034571063,bctech2121
0.12,0.012,0.8181756198816675,0.021052631578947368,35.5625,15.817223198594025,20.55188927943761,35.5625,90,569,1.5149384885764499,10,4.89103690685413,bctech2122
0.182,0.008,0.9157846537649801,0.011494252873563218,50.666666666666664,15.953947368421053,26.648245614035087,50.666666666666664,97,608,1.5592105263157894,5,5.0625,bctech2123
0.115,0.015,0.7692248521165221,0.014492753623188406,49.142857142857146,21.22093023255814,28.145514950166117,49.142857142857146,73,344,1.680232558139535,4,5.436046511627907,bctech2124
0.118,0.024,0.6619671692452871,0.006741573033707865,29.6,22.2972972972973,20.758918918918923,29.6,99,444,1.7094594594594594,2,5.587837837837838,bctech2125
0.09,0.013,0.7475655576159455,0.007518796992481203,49.75,18.341708542713565,27.236683417085427,49.75,73,398,1.6080402010050252,3,5.21859296482412,bctech2126
0.085,0.011,0.7708253039030845,0.0064516129032258064,41.266666666666666,16.962843295638123,23.291803984921916,41.266666666666666,105,619,1.5718901453957996,4,5.197092084006462,bctech2127
0.087,0.014,0.7227651211374145,0.008976660682226212,29.263157894736842,18.525179856115106,19.115335100340783,29.263157894736842,103,556,1.5845323741007193,5,5.158273381294964,bctech2128
0.114,0.017,0.7404523629590614,0.006211180124223602,64.2,25.233644859813083,35.77345794392524,64.2,81,321,1.8473520249221185,2,6.5607476635514015,bctech2129
0.11,0.014,0.7741873049410892,0.0056657223796034,35.2,22.443181818181817,23.05727272727273,35.2,79,352,1.6988636363636365,2,5.511363636363637,bctech2130
0.129,0.013,0.8168956556643967,0.005208333333333333,38.3,22.45430809399478,24.301723237597912,38.3,86,383,1.6631853785900783,2,5.344647519582246,bctech2131
0.12,0.033,0.5686237344853955,0.005813953488372093,57.166666666666664,22.157434402332363,31.729640427599612,57.166666666666664,76,343,1.653061224489796,2,5.396501457725948,bctech2132
0.113,0.04,0.4771210645682055,0.005917159763313609,30.636363636363637,24.03560830860534,21.86878877798759,30.636363636363637,81,337,1.718100890207715,2,5.4955489614243325,bctech2133
0.117,0.015,0.7727214187771305,0.006060606060606061,32.9,22.796352583586625,22.27854103343465,32.9,75,329,1.7051671732522797,2,5.525835866261398,bctech2134
0.104,0.009,0.8407005247741172,0.017241379310344827,32.05555555555556,17.677642980935875,19.893279414596574,32.05555555555556,102,577,1.5753899480069324,8,5.048526863084922,bctech2135
0.112,0.012,0.8064451093136346,0.01411764705882353,38.54545454545455,20.28301886792453,23.53138936535163,38.54545454545455,86,424,1.6674528301886793,6,5.5495283018867925,bctech2136
0.096,0.024,0.5999950000416664,0.007173601147776184,36.578947368421055,18.56115107913669,22.0560393790231,36.578947368421055,129,695,1.614388489208633,4,5.024460431654676,bctech2137
0.097,0.016,0.7168078158600366,0.008247422680412371,34.57142857142857,18.388429752066116,21.183943329397877,34.57142857142857,89,484,1.5909090909090908,2,5.142561983471074,bctech2138
0.065,0.013,0.6666581197676953,0.02694610778443114,29.0,19.04047976011994,19.216191904047975,29.0,127,667,1.6116941529235382,14,5.077961019490255,bctech2139
0.096,0.018,0.6842045245217147,0.018315018315018316,32.05882352941177,18.71559633027523,20.309767943874803,32.05882352941177,102,545,1.620183486238532,8,5.1192660550458715,bctech2140
0.08,0.006,0.8604551109870814,0.005050505050505051,32.94444444444444,17.36930860033727,20.125501217912685,32.94444444444444,103,593,1.5649241146711637,3,5.11973018549747,bctech2141
0.112,0.014,0.777771604987262,0.017421602787456445,33.705882352941174,17.975567190226876,20.67257981726722,33.705882352941174,103,573,1.5759162303664922,6,5.273996509598604,bctech2142
0.085,0.018,0.6504791215619266,0.004901960784313725,33.916666666666664,20.884520884520885,21.920475020475024,33.916666666666664,85,407,1.6683046683046683,2,5.304668304668304,bctech2143
0.087,0.024,0.5675624543923028,0.0049504950495049506,50.375,18.858560794044664,27.69342431761787,50.375,76,403,1.6426799007444168,2,5.33498759305211,bctech2144
0.09,0.013,0.7475655576159455,0.005141388174807198,35.27272727272727,20.876288659793815,22.459606373008437,35.27272727272727,81,388,1.7010309278350515,2,5.430412371134021,bctech2145
0.088,0.013,0.7425669052781656,0.005076142131979695,39.3,21.119592875318066,24.167837150127227,39.3,83,393,1.6895674300254453,2,5.407124681933842,bctech2146
0.095,0.013,0.7592522291460264,0.0049504950495049506,33.583333333333336,20.34739454094293,21.57229114971051,33.583333333333336,82,403,1.6600496277915633,2,5.317617866004963,bctech2147
0.094,0.014,0.7407338820936843,0.005390835579514825,46.25,22.432432432432435,27.472972972972975,46.25,83,370,1.6756756756756757,2,5.3108108108108105,bctech2148
0.102,0.014,0.7586141498780183,0.005479452054794521,40.44444444444444,21.703296703296704,24.85909645909646,40.44444444444444,79,364,1.7032967032967032,2,5.428571428571429,bctech2149
0.109,0.026,0.6148102606647358,0.007936507936507936,33.53333333333333,17.296222664015904,20.331822398939693,33.53333333333333,87,503,1.4990059642147118,3,4.821073558648111,bctech2150
0.098,0.016,0.7192919360356488,0.007358953393295176,23.5,15.057283142389524,15.422913256955809,23.5,184,1222,1.5212765957446808,4,5.027004909983633,bctech2151
0.064,0.036,0.2799972000279997,0.009067357512953367,30.84,21.141374837872892,20.792549935149157,30.84,163,771,1.6277561608300908,5,5.147859922178989,bctech2152
0.072,0.02,0.5652112477038292,0.00502092050209205,31.342105263157894,16.288832913518053,19.052375270670378,31.342105263157894,194,1191,1.5566750629722923,5,5.005877413937867,bctech2153
0.071,0.009,0.7749903126210923,0.005142857142857143,25.333333333333332,15.389016018306636,16.288939740655987,25.333333333333332,269,1748,1.5205949656750573,7,4.914187643020595,bctech2154
0.117,0.062,0.30726085329132247,0.025096525096525095,34.46666666666667,16.247582205029012,20.285699548678274,34.46666666666667,84,517,1.5377176015473888,10,4.965183752417795,bctech2155
0.117,0.018,0.7333279012748054,0.007380073800738007,54.0,25.185185185185183,31.674074074074078,54.0,68,270,1.8148148148148149,2,5.818518518518519,bctech2156
0.095,0.013,0.7592522291460264,0.007894736842105263,34.45454545454545,21.899736147757256,22.541712640921084,34.45454545454545,83,379,1.6622691292875988,3,5.263852242744063,bctech2157
